Id,SalePrice
1461,121470.23045888501
1462,159914.7400262067
1463,181203.90111397606
1464,193967.97313494404
1465,191311.49351559786
1466,172418.04122658298
1467,179675.85948622684
1468,168394.01738849087
1469,187845.3850006004
1470,125392.2603450707
1471,184808.4060325299
1472,97574.38181236487
1473,97631.12174590396
1474,148568.49190039438
1475,110269.12772811415
1476,368651.67466680217
1477,258569.20739228727
1478,284612.08473194
1479,286759.18048906577
1480,491059.2882461486
1481,337825.2925273829
1482,212469.95841707353
1483,176259.90931713927
1484,161818.37449672702
1485,185760.57693261484
1486,196005.33312674242
1487,340884.04098315554
1488,232712.93574881516
1489,196670.06019534194
1490,237100.5672391961
1491,190547.62674935078
1492,98344.04852055869
1493,176394.734914395
1494,293030.9436050229
1495,286493.80310425727
1496,228545.2408245208
1497,178201.19033413523
1498,165779.92877174454
1499,159111.20693187858
1500,153184.35457876176
1501,178131.47468831434
1502,141991.58033824054
1503,281927.3257155134
1504,243698.93594068533
1505,225129.6161818643
1506,194432.11136070438
1507,248385.04147393297
1508,199285.93967044927
1509,166098.88250602625
1510,145812.95943022385
1511,153513.3259445231
1512,175562.18825966463
1513,145094.80776526796
1514,153297.8276738041
1515,189789.8624642727
1516,155668.47024180947
1517,167144.9700283497
1518,133669.62585418802
1519,218906.98855131876
1520,133726.42080668855
1521,136276.43803584794
1522,175710.71964708847
1523,116215.71261218112
1524,128153.15319086201
1525,121704.84524121179
1526,110992.05619370093
1527,106440.50549062665
1528,141637.65640458366
1529,156210.2088607175
1530,178592.63748476846
1531,108854.83464007129
1532,97883.71899862318
1533,144692.23072600813
1534,123501.34627938278
1535,158305.7991058651
1536,108130.18058330554
1537,64852.983114539784
1538,162061.92355514577
1539,201625.09705327413
1540,89925.4467079921
1541,148047.08235677122
1542,141321.8906599225
1543,207739.62795693605
1544,87157.24396024762
1545,113994.31017280249
1546,136280.49711853403
1547,132628.97948502336
1548,138809.35193811162
1549,116816.57498268253
1550,132265.33031311535
1551,109901.68888391805
1552,144186.66115956212
1553,146989.33295793945
1554,121486.35712398158
1555,174145.42472479204
1556,84033.08284025909
1557,107956.46771283995
1558,98098.48464808495
1559,78488.5229572127
1560,127058.97329310878
1561,124392.2866267908
1562,130061.69022658138
1563,119292.78026705101
1564,162495.35850715236
1565,144928.92048292415
1566,240603.95820474715
1567,80596.32561556282
1568,241896.92471850084
1569,131044.44756719643
1570,138329.4764499408
1571,129507.38186758567
1572,146901.20429995176
1573,249438.72949605944
1574,120226.48517621688
1575,231629.39259781645
1576,246579.3500957811
1577,184069.08513970574
1578,144128.30852408943
1579,149030.34537149232
1580,193033.12077984738
1581,155747.90039558383
1582,124136.76848485887
1583,304028.7931075051
1584,221068.94768336794
1585,138233.88733787308
1586,66723.75699071931
1587,102204.04949649876
1588,156438.41434106225
1589,95041.00840684769
1590,137453.67241896252
1591,98969.9371450439
1592,116845.58768709957
1593,122476.35785104704
1594,126010.07561293409
1595,112201.51072438402
1596,238677.72437844326
1597,194960.8385421012
1598,224667.79510628924
1599,161556.38119852493
1600,159048.23496412105
1601,61458.1875684175
1602,110691.07691324594
1603,84513.57166774414
1604,259536.56599791133
1605,244690.08241494058
1606,176753.5730736853
1607,174483.8813999401
1608,212581.61990589875
1609,182572.39663863243
1610,157556.20174392062
1611,140214.05885739313
1612,166733.73337499454
1613,163549.27248496297
1614,119547.56366765194
1615,96658.82074552073
1616,81143.92646099378
1617,93870.92767825084
1618,127270.26744427758
1619,142697.83988371675
1620,158210.29377381867
1621,142353.15888512187
1622,145660.44926323293
1623,270406.09761960467
1624,213900.65764865506
1625,116560.08412134535
1626,160752.2421328397
1627,194245.0156215888
1628,274416.0641388144
